layer,title,evidence_level,text_match_count,artifact_filename_match_count,top_evidence_paths
15,Vision Explainability Layer,STRONG_CANDIDATE_EVIDENCE,32,0,configs/vision_model_registry_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_final_jury_package_qa_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md
16,Transfer Learning & Crop Adaptation Layer,STRONG_CANDIDATE_EVIDENCE,43,40,configs/crop_adaptation_protocol_v1.json | configs/pepper_transfer_experiment_v1.json | configs/vision_model_registry_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | models/release_candidates/pepper_transfer_v1/pepper_transfer_v1.onnx | models/release_candidates/pepper_transfer_v1/pepper_transfer_v1.pt | runs/pepper_transfer/pepper_generic_baseline_v1/args.yaml | runs/pepper_transfer/pepper_generic_baseline_v1/confusion_matrix.png
17,Model Export & Portability,STRONG_CANDIDATE_EVIDENCE,41,3,configs/pepper_final_test_protocol_v1.json | configs/vision_model_registry_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_final_jury_package_qa_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | models/greenpulse_tomato_yolo11n_cls_v1.0.onnx | models/release_candidates/pepper_transfer_v1/pepper_transfer_v1.onnx | models/release_candidates/tomato_clean_v1/tomato_clean_v1.onnx
18,Vision Model Registry & Release,STRONG_CANDIDATE_EVIDENCE,36,4,configs/vision_model_registry_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_final_jury_package_qa_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | models/release_candidates/pepper_transfer_v1/pepper_transfer_v1.onnx | models/release_candidates/pepper_transfer_v1/pepper_transfer_v1.pt | models/release_candidates/tomato_clean_v1/tomato_clean_v1.onnx | models/release_candidates/tomato_clean_v1/tomato_clean_v1.pt
19,Sensor Data Ingestion,STRONG_CANDIDATE_EVIDENCE,13,0,configs/sensor_schema_v1.json | reports/greenpulse_jury_visual_source_audit_v1.json | reports/greenpulse_technical_audit_v1.json | reports/jury_architecture_visuals_v1/architecture_evidence_index.json | reports/tomato_current_state_audit_v1.json | src/api.py | src/create_sensor_contract.py | src/sensor_contract_guard.py
20,Sensor Feature Engineering,STRONG_CANDIDATE_EVIDENCE,4,0,reports/greenpulse_technical_audit_v1.json | src/api.py | src/fusion_contract.py | src/sensor_features.py
21,Image / Sensor Time Synchronization,STRONG_CANDIDATE_EVIDENCE,18,0,configs/ack_error_schema_v1.json | configs/actuator_schema_v1.json | configs/closed_loop_response_schema_v1.json | reports/greenpulse_jury_visual_source_audit_v1.json | reports/jury_architecture_visuals_v1/architecture_evidence_index.json | src/actuator_audit.py | src/actuator_query.py | src/actuator_simulator.py
22,Multimodal Feature Fusion,STRONG_CANDIDATE_EVIDENCE,18,0,configs/real_multimodal_sample_schema_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_jury_visual_source_audit_v1.json | reports/greenpulse_technical_audit_v1.json | reports/jury_architecture_visuals_v1/architecture_evidence_index.json | reports/jury_final_shortlist_v1/ai_ml_defense_pack.json | reports/jury_final_shortlist_v1/ai_ml_defense_pack.md | reports/tomato_current_state_audit_v1.json
23,Sensor-Only Baseline Model,NO_DIRECT_EVIDENCE_FOUND,0,0,
24,Vision-Only Risk Baseline,NO_DIRECT_EVIDENCE_FOUND,0,0,
25,Multimodal Stress Fusion Engine,SOME_CANDIDATE_EVIDENCE,2,0,reports/greenpulse_technical_audit_v1.json | src/fusion_contract.py
26,Stress Risk Score Engine,STRONG_CANDIDATE_EVIDENCE,9,0,configs/closed_loop_response_schema_v1.json | src/api.py | src/closed_loop_feedback_contract.py | src/closed_loop_simulator.py | src/fusion_contract.py | src/simulated_irrigation_flow.py | src/simulated_irrigation_policy.py | src/vision_inference.py
27,Risk Calibration & Threshold Optimization,STRONG_CANDIDATE_EVIDENCE,39,0,configs/active_learning_policy_v1.json | configs/crop_adaptation_protocol_v1.json | configs/pepper_final_test_protocol_v1.json | configs/real_multimodal_sample_schema_v1.json | configs/simulated_irrigation_policy_v1.json | configs/tomato_clean_training_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_final_jury_package_qa_v1.json
28,Temporal Intelligence Engine,NO_DIRECT_EVIDENCE_FOUND,0,0,
29,Predictive Risk Forecasting Engine,STRONG_CANDIDATE_EVIDENCE,3,0,reports/greenpulse_technical_audit_v1.json | src/api.py | src/vision_inference.py
30,AI Uncertainty & Out-of-Distribution Layer,STRONG_CANDIDATE_EVIDENCE,11,0,configs/active_learning_policy_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | reports/greenpulse_jury_visual_source_audit_v1.json | reports/jury_final_shortlist_v1/ai_ml_defense_pack.json | reports/jury_final_shortlist_v1/ai_ml_defense_pack.md
31,Vision / Sensor Conflict Detection,STRONG_CANDIDATE_EVIDENCE,4,0,configs/active_learning_policy_v1.json | reports/tomato_active_learning_v1.json | src/active_learning.py | tests/test_active_learning_v1.py
32,Decision Intelligence Engine,SOME_CANDIDATE_EVIDENCE,1,0,tests/test_hardware_closedloop_regression_v1.py
33,Decision Safety Layer,STRONG_CANDIDATE_EVIDENCE,16,0,configs/simulated_irrigation_policy_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | reports/greenpulse_jury_visual_source_audit_v1.json | reports/greenpulse_technical_audit_v1.json | reports/jury_architecture_visuals_v1/architecture_evidence_index.json
34,Decision Reason & Multimodal Explainability,STRONG_CANDIDATE_EVIDENCE,6,0,src/api.py | src/hardware_contract.py | src/safety_gate.py | src/simulated_irrigation_flow.py | src/simulated_irrigation_policy.py | tests/test_hardware_closedloop_regression_v1.py
35,Master AI Inference Pipeline,STRONG_CANDIDATE_EVIDENCE,49,8,configs/crop_adaptation_protocol_v1.json | configs/pepper_final_test_protocol_v1.json | configs/pepper_transfer_experiment_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | runs/greenpulse/tomato_cpu_v1/confusion_matrix.png | runs/greenpulse/tomato_cpu_v1/confusion_matrix_normalized.png | runs/pepper_transfer/pepper_generic_baseline_v1/confusion_matrix.png | runs/pepper_transfer/pepper_generic_baseline_v1/confusion_matrix_normalized.png
36,AI Gateway & Backend API,STRONG_CANDIDATE_EVIDENCE,4,0,reports/greenpulse_jury_visual_source_audit_v1.json | reports/greenpulse_technical_audit_v1.json | reports/jury_architecture_visuals_v1/architecture_evidence_index.json | src/api.py
37,Standard AI Output Contract,STRONG_CANDIDATE_EVIDENCE,17,0,configs/ack_error_schema_v1.json | configs/actuator_schema_v1.json | configs/closed_loop_response_schema_v1.json | src/actuator_audit.py | src/actuator_query.py | src/actuator_simulator.py | src/api.py | src/audit_db.py
38,Hardware Integration Interface,STRONG_CANDIDATE_EVIDENCE,16,0,configs/ack_error_schema_v1.json | configs/actuator_schema_v1.json | configs/closed_loop_response_schema_v1.json | reports/greenpulse_jury_visual_source_audit_v1.json | reports/greenpulse_technical_audit_v1.json | reports/jury_architecture_visuals_v1/architecture_evidence_index.json | reports/tomato_current_state_audit_v1.json | src/actuator_audit.py
39,Hardware ACK & Action State,STRONG_CANDIDATE_EVIDENCE,73,0,configs/ack_error_schema_v1.json | configs/closed_loop_response_schema_v1.json | configs/crop_adaptation_protocol_v1.json | configs/sensor_schema_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_final_jury_package_qa_v1.json | reports/greenpulse_final_jury_package_qa_v1.md | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json
40,Closed-Loop Feedback Intelligence,STRONG_CANDIDATE_EVIDENCE,13,0,configs/closed_loop_response_schema_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_technical_audit_v1.json | reports/jury_architecture_visuals_v1/architecture_evidence_index.json | reports/tomato_computer_side_completion_v1.json | src/actuator_audit.py
41,Hailo Edge AI Deployment,STRONG_CANDIDATE_EVIDENCE,29,0,reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_final_jury_package_qa_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | reports/greenpulse_jury_visual_source_audit_v1.json
42,Resource Optimization (<3 GB RAM),STRONG_CANDIDATE_EVIDENCE,25,0,reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | reports/greenpulse_technical_audit_v1.json | reports/jury_final_shortlist_v1/ai_ml_defense_pack.json
43,Adaptive Image Sampling,NO_DIRECT_EVIDENCE_FOUND,0,0,
44,Edge Benchmarking,STRONG_CANDIDATE_EVIDENCE,6,0,reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | reports/jury_final_shortlist_v1/ai_ml_defense_pack.json | reports/jury_final_shortlist_v1/ai_ml_defense_pack.md
45,Long-Run Stability Test,NO_DIRECT_EVIDENCE_FOUND,0,0,
46,Failure & Safe-State Engine,STRONG_CANDIDATE_EVIDENCE,21,0,configs/ack_error_schema_v1.json | configs/active_learning_policy_v1.json | reports/jury_final_shortlist_v1/ai_ml_defense_pack.json | reports/jury_final_shortlist_v1/ai_ml_defense_pack.md | reports/tomato_active_learning_v1.json | scripts/compare_pepper_validation_v1.py | scripts/evaluate_pepper_validation_v1.py | scripts/final_pepper_test_v1.py
47,Data Logging & Audit Layer,STRONG_CANDIDATE_EVIDENCE,11,0,reports/greenpulse_jury_visual_source_audit_v1.json | reports/jury_architecture_visuals_v1/architecture_evidence_index.json | src/actuator_audit.py | src/actuator_query.py | src/api.py | src/audit_db.py | src/closed_loop_feedback_contract.py | src/closed_loop_simulator.py
48,Model & System Versioning (MLOps-Lite),STRONG_CANDIDATE_EVIDENCE,5,0,configs/closed_loop_response_schema_v1.json | src/api.py | src/closed_loop_feedback_contract.py | src/fusion_contract.py | src/vision_inference.py
49,AI Testing Infrastructure,STRONG_CANDIDATE_EVIDENCE,109,0,configs/ack_error_schema_v1.json | configs/actuator_schema_v1.json | configs/crop_adaptation_protocol_v1.json | configs/pepper_final_test_protocol_v1.json | configs/pepper_transfer_experiment_v1.json | configs/simulated_irrigation_policy_v1.json | configs/tomato_clean_training_v1.json | configs/vision_model_registry_v1.json
50,Sensor & Hardware Simulators,STRONG_CANDIDATE_EVIDENCE,14,0,configs/closed_loop_response_schema_v1.json | configs/simulated_irrigation_policy_v1.json | reports/greenpulse_technical_audit_v1.json | reports/tomato_active_learning_v1.json | src/actuator_audit.py | src/actuator_simulator.py | src/api.py | src/closed_loop_feedback_contract.py
51,Ablation Study,NO_DIRECT_EVIDENCE_FOUND,0,0,
52,Temporal & Predictive Evaluation,NO_DIRECT_EVIDENCE_FOUND,0,0,
53,Sustainability Intelligence Layer,STRONG_CANDIDATE_EVIDENCE,8,0,reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | reports/greenpulse_technical_audit_v1.json | reports/tomato_computer_side_completion_v1.json
54,Backend & Frontend Intelligence Outputs,NO_DIRECT_EVIDENCE_FOUND,0,0,
55,System Monitoring & Lightweight Drift Monitoring,SOME_CANDIDATE_EVIDENCE,1,0,scripts/export_pepper_onnx_v1.py
56,Final Release & Team Handoffs,STRONG_CANDIDATE_EVIDENCE,9,0,reports/greenpulse_technical_audit_v1.json | reports/jury_architecture_visuals_v1/architecture_evidence_index.json | reports/jury_final_shortlist_v1/presentation_order.md | reports/jury_final_shortlist_v1/shortlist_index.json | reports/pepper_dataset_discovery_v1.json | src/api.py | src/hardware_contract.py | src/release_tomato_model.py
