layer,title,status,repository_evidence_level,text_match_count,artifact_filename_match_count,reason
32,Decision Intelligence Engine,PARTIAL,SOME_CANDIDATE_EVIDENCE,1,0,"Decision/safety scaffolding exists, but the complete deterministic multimodal decision engine depends on unfinished risk/forecast layers."
33,Decision Safety Layer,PARTIAL,STRONG_CANDIDATE_EVIDENCE,16,0,"Safety gate blocks autonomous action, but the full config-driven operational policy with calibrated risk, confirmation counts and cooldown is not yet closed."
34,Decision Reason & Multimodal Explainability,PARTIAL,STRONG_CANDIDATE_EVIDENCE,6,0,"Structured reasoning concepts exist, but full multimodal reason codes and technically valid fusion feature-contribution explanations are unfinished."
35,Master AI Inference Pipeline,PARTIAL,STRONG_CANDIDATE_EVIDENCE,49,8,"Vision inference exists, but the complete master pipeline through sensor validation, fusion, risk, temporal forecast and decision cannot be complete until upstream missing modules are implemented."
36,AI Gateway & Backend API,PARTIAL,STRONG_CANDIDATE_EVIDENCE,4,0,"FastAPI gateway exists with core endpoints, but the final architecture API surface and completed intelligence fields are not yet fully delivered."
37,Standard AI Output Contract,PARTIAL,STRONG_CANDIDATE_EVIDENCE,17,0,"Versioned output schema exists, but risk/forecast/fusion fields are not yet backed by completed models."
38,Hardware Integration Interface,DONE,STRONG_CANDIDATE_EVIDENCE,16,0,Computer-side standardized actuator/hardware contract exists and direct electrical actuation is correctly separated from AI.
39,Hardware ACK & Action State,PARTIAL,STRONG_CANDIDATE_EVIDENCE,73,0,"Simulated ACK/failure behavior exists, but real hardware acknowledgements have not yet been validated."
40,Closed-Loop Feedback Intelligence,HARDWARE_BLOCKED,STRONG_CANDIDATE_EVIDENCE,13,0,"Synthetic closed-loop testing exists, but validated pre/post physical intervention feedback requires real plants, sensors and actuator hardware."
41,Hailo Edge AI Deployment,HARDWARE_BLOCKED,STRONG_CANDIDATE_EVIDENCE,29,0,"ONNX is ready, but final HEF regression and Raspberry Pi 5 + AI HAT+ runtime validation require the target Hailo environment/hardware."
42,Resource Optimization (<3 GB RAM),HARDWARE_BLOCKED,STRONG_CANDIDATE_EVIDENCE,25,0,The final <3 GB acceptance criterion must be measured during target-edge runtime stability testing.
43,Adaptive Image Sampling,SOFTWARE_TODO,NO_DIRECT_EVIDENCE_FOUND,0,0,Adaptive image-sampling policy is computer-side implementable but currently has no direct implementation evidence.
44,Edge Benchmarking,HARDWARE_BLOCKED,STRONG_CANDIDATE_EVIDENCE,6,0,Final preprocessing/Hailo/postprocessing/end-to-end latency and device resource measurements require the target edge hardware.
45,Long-Run Stability Test,HARDWARE_BLOCKED,NO_DIRECT_EVIDENCE_FOUND,0,0,Final long-run stability acceptance requires real edge runtime and hardware camera/sensor behavior.
46,Failure & Safe-State Engine,PARTIAL,STRONG_CANDIDATE_EVIDENCE,21,0,"Safe blocking and simulator regression exist, but the complete failure matrix including all camera/network/database/hardware scenarios is not yet closed."
47,Data Logging & Audit Layer,PARTIAL,STRONG_CANDIDATE_EVIDENCE,11,0,"Audit database exists, but the full authoritative table/traceability schema covering risk, forecasts, commands, actions and sustainability is unfinished."
48,Model & System Versioning (MLOps-Lite),PARTIAL,STRONG_CANDIDATE_EVIDENCE,5,0,"Vision models/configs/hashes are strongly versioned, but system-wide fusion, forecast, API and final-release versioning cannot be complete yet."
49,AI Testing Infrastructure,PARTIAL,STRONG_CANDIDATE_EVIDENCE,109,0,"Unit/regression tests exist, but the complete image+sensor+fusion+risk+forecast+decision+API+DB+simulated-hardware integration suite is not yet possible."
50,Sensor & Hardware Simulators,DONE,STRONG_CANDIDATE_EVIDENCE,14,0,Computer-side sensor/actuator simulation and deterministic simulated hardware behavior are implemented.
51,Ablation Study,SOFTWARE_TODO,NO_DIRECT_EVIDENCE_FOUND,0,0,Required SENSOR ONLY vs VISION ONLY vs FUSION ablation cannot run until the three comparable baselines exist.
52,Temporal & Predictive Evaluation,HARDWARE_BLOCKED,NO_DIRECT_EVIDENCE_FOUND,0,0,"Software evaluation framework can be prepared, but meaningful temporal forecast validation and lead-time evidence require real temporal plant data."
53,Sustainability Intelligence Layer,SOFTWARE_TODO,STRONG_CANDIDATE_EVIDENCE,8,0,Sustainability analytics engine and measured-vs-estimated baseline methodology still need computer-side implementation; real savings remain future evidence.
54,Backend & Frontend Intelligence Outputs,PARTIAL,NO_DIRECT_EVIDENCE_FOUND,0,0,"Backend/API outputs exist, but final risk/trend/forecast/sustainability and system-health intelligence fields are not fully backed by completed modules."
55,System Monitoring & Lightweight Drift Monitoring,SOFTWARE_TODO,SOME_CANDIDATE_EVIDENCE,1,0,Lightweight prediction/sensor/resource distribution drift monitoring remains to be implemented.
56,Final Release & Team Handoffs,SOFTWARE_TODO,STRONG_CANDIDATE_EVIDENCE,9,0,"Final packaged release, install/start scripts, complete handoff schemas and README can only be finalized after remaining computer-side modules are closed."
